city,country,year,city,country,avg_temp
San Jose,United States,1987,San Jose,United States,14.95
San Jose,United States,1988,San Jose,United States,15.08
San Jose,United States,1989,San Jose,United States,14.45
San Jose,United States,1990,San Jose,United States,14.73
San Jose,United States,1991,San Jose,United States,14.50
San Jose,United States,1992,San Jose,United States,15.53
San Jose,United States,1993,San Jose,United States,14.97
San Jose,United States,1994,San Jose,United States,14.21
San Jose,United States,1995,San Jose,United States,15.31
San Jose,United States,1996,San Jose,United States,15.56
San Jose,United States,1997,San Jose,United States,15.75
San Jose,United States,1998,San Jose,United States,14.38
San Jose,United States,1999,San Jose,United States,14.41
San Jose,United States,2000,San Jose,United States,15.02
San Jose,United States,2001,San Jose,United States,15.25
San Jose,United States,2002,San Jose,United States,15.00
San Jose,United States,2003,San Jose,United States,15.43
San Jose,United States,2004,San Jose,United States,15.37
San Jose,United States,2005,San Jose,United States,15.17
San Jose,United States,2006,San Jose,United States,15.02
San Jose,United States,2007,San Jose,United States,14.94
San Jose,United States,2008,San Jose,United States,15.05
San Jose,United States,2009,San Jose,United States,15.02
San Jose,United States,2010,San Jose,United States,14.67
San Jose,United States,2011,San Jose,United States,14.50
San Jose,United States,2012,San Jose,United States,15.05
San Jose,United States,2013,San Jose,United States,16.23
